,Acronym,Name
448,TT,"['Trane', 'Technologies', 'plc']"
449,TDG,"['TransDigm', 'Group']"
450,TFC,"['Truist', 'Financial']"
451,TWTR,"['Twitter', 'Inc']"
452,TYL,"['Tyler', 'Technologies']"
453,TSN,"['Tyson', 'Foods']"
454,USB,"['US', 'Bancorp']"
455,UDR,"['UDR', 'Inc']"
456,ULTA,"['Ulta', 'Beauty']"
457,UAA,"['Under', 'Armour', '(Class', 'A)']"
458,UA,"['Under', 'Armour', '(Class', 'C)']"
459,UNP,"['Union', 'Pacific', 'Corp']"
460,UAL,"['United', 'Airlines', 'Holdings']"
461,UNH,"['United', 'Health', 'Group', 'Inc']"
462,UPS,"['United', 'Parcel', 'Service']"
463,URI,"['United', 'Rentals', 'Inc']"
464,UHS,"['Universal', 'Health', 'Services']"
465,UNM,"['Unum', 'Group']"
466,VLO,"['Valero', 'Energy']"
467,VAR,"['Varian', 'Medical', 'Systems']"
468,VTR,"['Ventas', 'Inc']"
469,VRSN,"['Verisign', 'Inc']"
470,VRSK,"['Verisk', 'Analytics']"
471,VZ,"['Verizon', 'Communications']"
472,VRTX,"['Vertex', 'Pharmaceuticals', 'Inc']"
473,VFC,"['VF', 'Corporation']"
474,VIAC,['ViacomCBS']
475,V,"['Visa', 'Inc']"
476,VNO,"['Vornado', 'Realty', 'Trust']"
477,VMC,"['Vulcan', 'Materials']"
478,WRB,"['W', 'R', 'Berkley', 'Corporation']"
479,WAB,"['Wabtec', 'Corporation']"
480,WBA,"['Walgreens', 'Boots', 'Alliance']"
481,WMT,['Walmart']
482,WM,"['Waste', 'Management', 'Inc']"
483,WAT,"['Waters', 'Corporation']"
484,WEC,"['WEC', 'Energy', 'Group']"
485,WFC,"['Wells', 'Fargo']"
486,WELL,"['Welltower', 'Inc']"
487,WST,"['West', 'Pharmaceutical', 'Services']"
488,WDC,"['Western', 'Digital']"
489,WU,"['Western', 'Union', 'Co']"
490,WRK,['WestRock']
491,WY,['Weyerhaeuser']
492,WHR,"['Whirlpool', 'Corp']"
493,WMB,"['Williams', 'Companies']"
494,WLTW,"['Willis', 'Towers', 'Watson']"
495,WYNN,"['Wynn', 'Resorts', 'Ltd']"
496,XEL,"['Xcel', 'Energy', 'Inc']"
497,XRX,['Xerox']
498,XLNX,['Xilinx']
499,XYL,"['Xylem', 'Inc']"
500,YUM,"['Yum!', 'Brands', 'Inc']"
501,ZBRA,"['Zebra', 'Technologies']"
502,ZBH,"['Zimmer', 'Biomet', 'Holdings']"
503,ZION,"['Zions', 'Bancorp']"
504,ZTS,['Zoetis']
